S	Z
el terçero libro de las politicas 	El Filósofo en el III.o de las Políticas 
departe el philosofo seys linaies de prinçipados 	pone seis linajes o maneras de principados, 
de los quales tro son buenos 	de los cuales los tres son buenos 
e los tres son malos. 	e los tres son malos. 
ca el regno e la aristocarçia  que quiere dezer sennorio de buenos 	E éstos son reyno, aristocracia e policía, 
e la poliçia 	
que quiere dezer pueblo bien  enssenoreante son buenos prinçipados. 	e estos tres son buenos; 
La thirania que quiere dezer sennorio malo  e la obligaçia 	los otros tres contrarios de éstos son malos, 
que quiere dezer sennorio duro.  Et la democraçia 	e éstos son tiranía, oligarquía e democracia. 
que quiere dez maldat del pueblo 	
enssennoreante son malos prinçipados.  Et alli muestra el pho departir el buen prinçipado del malo. 	E esto muestra el Filósofo 
ca si en algun señorio,  o prinçipado es entendido el bien comun 	dando conoscimiento de los buenos 
e el bien de todos los çibdadanos 	e de los malos 
segunt su estado  assi es sennorio ygual e derecho. 	en comparación del bien común, 
mas si es entendido  y el bien de algunos e la subiecto, 	ca los unos principados entienden siempre en salvar el bien común, 
o agrauiamiento de algunos 	
assi es señorio corrupto e malo  e en esta manera segunt derecho 	e los malos, 
e tuerto commo pone el philosopho.  podemos tomar la suficiençia de los prinçipados 	posponiendo el bien común, 
tan bien de los malos 	entienden siempre en el bien propio. 
commo de los buenos, 	E la suficiencia destos principados da el Filósofo en esta manera, 
ca en la çibdat  o en alguna gente 	diciendo que en toda la cibdad 
o 	o 
enssennorea vno, o pocos, 	sennorea uno, 
o muchos Si vno, 	o pocos, o muchos. 
o aquel entiende bien comun  e bien de los subdictos 	Si uno e aquél entiende en el bien común de los súbditos, 
e estonçe es dicho tal sennorio monarchia,  o el regno 	aquel sennorío es dicho reyno o monarquía, 
ca al Rey parte nesçe de enteder el bien comun. 	ca al rey pertenesce de tener mientes al bien común; 
Et si aquel vno assi  enssennoreante non entiende el bien comun, 	e si ensennoreando aquél no tiene mientes al bien común, 
Mas entiende por poderio çiuil apremiar los otros  e todas las cosas ordena al su bien propio, 	mas a lo suyo propio, 
aquel non es Rey mas es tiranno. 	aquél no es rey, mas tirano. 
e assi paresçe que dos principados se le una tan del sennorio de vno prinçipado de derechas  si commo quando por el bien comun 	E así paresce que dos principados se toman en comparación de uno 
enssennore a vno este es dicho Rey. 	
Et otro prinçipado malo 	
quando por el bien proprio 	
enssennorea vno 	
