A	B
0	0|1
1|2	2
3|4	3
5	4
	5
6|7	6
8|9	7
10	8
11	9
12	10
13	11
14	12
15|16	13
17	14
18	15|16
19|20	17
21|22	18
23	19
24	20
25	21
26	22
27	23|24
28	25
29|30	26
31	27
32|33	28
34	29
35|36	30
37|38	31
39	32
40|41	33
42|43	34
44	35
45	36
46	37
47	38
48|49	39
50	40
51	41
52	42
53	43
54|55	44
56	45
57	46
58	47
59	48
60|61	49
62	50|51
63	52
64	53
65	54
66	55|56
67|68	57
69	58|59
70	60
71|72	61
73	62
74|75	63
76|77	64
78	65
79|80	66
81|82	67
83|84	68
85|86	69
87	70
88	71
89|90	72
91	73
92	74
93	75
94	76
95	77
96	78
97|98	79
99	80
100	81
101	82
102	83
103|104	84
105|106	85
107	86
108	87
109	88
110	89
111	90
112|113	91
114|115	92
116	
117	93
118	94|95
119|120	96
121|122	97
123	98
124	
125|126	99
127|128	100
129|130	101
131|132	102
133|134	103
135|136	104
	105
137|138	106
139|140	107
141|142	108
143	109
144	110|111
145	112
146	113
147|148	114
149	
150|151	115
152|153	116
154	117|118
155	119
156|157	120
158	121
159	122
160	123|124
161	125
162	126
163	127
164	128
165	129|130
166|167	131
168	
169|170	132
171|172	133
173|174	134
175	
176	
177|178	135
179|180	136
181|182	137
183	138
184|185	139
186	140
187	141
188	142|143
