A	B
0|1	0
2	1
3	2
4	3|4
5	5|6
6|7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15|16
16	17
17	18
18	19
19	20
20	21|22
21	23
22	24
23	25|26
24	27|28
25	29|30
26	31|32
	33
27	34|35
28	36|37
29	38
30	39
31	40|41
32	42|43
33	44
34	45
35	46
36	47|48
37	49
38	50
39	51
40|41	52
42	53
43	54
44	55
45	56
46|47	57
48	58
49	59
50	60|61
51	62
52	63|64
53	65
54	66|67
55|56	68
57	69
58	70|71
59	72|73
60	74
61	75|76
62	77|78
63	79
64	80
65	81
66	82
67	83
68	84
69	85
70	86
71	87|88
72	89
73	90|91
74	92|93
75	94
76	95|96
77	97
78	98
79	99
80	100
81	101
82	102|103
83	104|105
84|85	106
86	107
87	108
88	109
89|90	110
91	111|112
92|93	113
94	114
95	115
96	116|117
97	118
98	119
99|100	120
101	121
102|103	122
104|105	123
106	124
107|108	125
109|110	126
111|112	127
113	128
114	129
115	130|131
116	132|133
117	134|135
118	136
119|120	137
121	138
122	139
123	140
124	141
125	142
126	143
127	144
128	145
129|130	146
131	147|148
132	149
133|134	150
135	151
136	152|153
137	154|155
138|139	156
140|141	157
142|143	158
144	159
145|146	160
147	161
148	162
149|150	163
151	164|165
152	166
153	167|168
154	169|170
155	171
156	172|173
157	174|175
158	176
159	177|178
160	179|180
161	181
162	182
163	183|184
164	185|186
165	187|188
166	189
167|168	190
169	191|192
170|171	193
172	194|195
173	196|197
174	198
175	199
176	200
177|178	201
179	202
180	203
181	204
182	205
183|184	206
185	207|208
186	209|210
187	211|212
188	213|214
