A	B
0	0
1	1
2	2
3	3
4|5	4
6|7	5
8|9	6
10|11	7
12	8
13	9
14|15	10
16|17	11
18|19	12
20	13
21|22	14
23|24	15
25|26	16
27	
28|29	17
30	18
31	19
32	20
33|34	21
35	22
36	23
37	24
38|39	25
40	26
41|42	27
43|44	28
45	
46	
47	
48	
49	
50|51	29
52	30
53	31
54	32
55|56	33
57	
58|59	34
60|61	35
62|63	36
64|65	37
66|67	38
68|69	39
70	40
71|72	41
73|74	42
75|76	43
77	44
78	45
79|80	46
81	47|48
82|83	49
84	50
85|86	51
87	
88	
89|90	52
91|92	53
93	
94|95	54
96|97	55
98|99	56
100	
101|102	57
103	58
104	59
105|106	60
107|108	61
109|110	62
111|112	63
113	64
114|115	65
116|117	66
118|119	67
120|121	68
122|123	69
124|125	70
126|127	71
128	
129	72
130	73|74
131|132	75
133	76
134	77
135	78
136	79
137	80
138	81|82
139|140	83
141	84|85
142|143	86
144	87|88
