0|1	Capitulum. primum quomodo diuiduntur anime. |et inquibus potenciis habent 	APres que par laide de dieu auons acompli la premiere partie de ce liure 	0
2|3	esse uirtutes |Ostquam auxiliante. 	ou	1
4|5	deo conpleuimus prim̃a partem huius pͥ mi libri |in quo agitur de regimine sui 	quel traicte du regime de soy mesmes demonstrans 	2
6|7	ostendentes inquo reges et principes |suam felicitatem ponere debeant 	en quoy les rois et princes doiuent mettre leur felicite 	3
8|9	quia non decet |eos suum finem ponere in diuiciis 	car il ne doiuent pas mettre leur fin en richesses ne en ciuile puissance ne en autres telles choses. 	4
10	nec in ciuili potentia 	mais comme dauant est prouue plus plainement 	5
11|12	nec in aliquibus talibus |sed in omnibus hiis 	ilz doiuent user de toutes ces choses 	6
13|14	ut supra plenius probabatur debent |utitanquam organis ad felicitatem 	aussi comme des organnes ou instrumens a leur felicite acqueire 	7
15|16	suam autem felicitatem ponere debent |in actu prudencie 	mais doiuent mettre felicite ou fait de prudence cõmande de charite 	8
17	prout talis actus est inperatus a caritate. 		
18|19	Nam tunc reges habent felicitature suo statu debitam et condignam |quando in stigante dei delectatione 	car adoncques ont les roys felicite deue et condigne a leur estat 	9
20|21	secundum prima|denciam regnatiuam gentem 	quant eulx emeuz de lamour de dieu gouuernent la gent a eulx comise selon prudence et selon la loy et raison saintement et iustement. 	10
22|23	sibi commissam scderm legem |et rationem sancte et iuste regunt principalitergni regum felicitas ponenda est in ipso deo 	doncques principalement en dieu doit estre mise la felicite des roys 	11
24	et ut cognitione et dilectione eius suum studium 	et eulx meuz de la congnoissance et amour de dieu leur estude 	12
25	et suam uitam ad hoc ordinare debeant 	et leur uie doiuent ordonnez 	13
26	⁊cognoscentes et diligentes deum 	a ce que en congnoissant et ayment dieu. 	14
27	tanquam ueri ministri eius sermordinem rationis dirigant populm sibi commissum. 	aussi comme ses uraiz maistres |ilz puissent gouuerner le peuple a eulx cõmis selon lordre de raison 	15|16
28	Hiis igitur ita peractis et ostenso 	Ces choses |doncques dauant mises et monstre 	17|18
29|30	in quo reges debeant |ponere suum finem 	en quoy le roy doit mettre sa fin. 	19
31	secundum ordinem superius praetexatum restat ostendere 	Reste maintenant demonstrez selon lordre dauant notee 	20
32|33	quibus uirtutibus reges poll̾e debeant |uirtutes autem sunt quidam ornatus 	quelles uertuz les roys doiuent auoir. 	21
34|35	et quedam perfectiones anime. |oportet igitur prius ostendere 	Et pour tant que les uertuz sont ornement et perfection de lame il conuient premierement demonstrez 	22
36	quot sunt poten cie anime 	quantes sont les puissances de lame 	23
37|38	et in quibus potenciis habent |esse uirtutes	et es quelles sont les uertuz. 	24
39	consequenter autem manifestabitur 	Et consequentemet sera declaire 	25
40|41	quomodo uirtutes sunt |dis 	comment les uertuz sont distinguees. ¶ 	26
42	terngende postea uero ostendemus 	Apres demonsteron 	27
43	quot sunt numero huius uirtutes 	quantes sont ces uertuz en nombre 	28
44	et que illarum st principales 	et les quelles sont principales 	29
45	et que secundarie. 	et les quelles sont apres. 	30
46|47	deinde autem declarabitur singulariter |que sit una quem illarum uirtutum 	finablement sera declaire dune chacune uertuz singulierement 	31
48|49	et quomodo decet reges |et principes tales uirtutes habere. 	et comment les roys et princes doiuent auoir telles uertuz. 	32
50	po tencie autem anime sic distingui possunt. 	Les puissances de lame peust ainsi estre distinguees 	33
51	quia quedam sunt 	car les unes sont natureles. 	34
52|53	naturalesᷤ quedam cognitiue sensitiue |quedam appetitiue 	les autres cognitiues et sencitiues. aulcunes appetitiues et les autres intellectiues. 	35
54|55	et quedam intellectiue naturales |potencie sunt ille 	Les puissances naturelles sont celles 	36
56|57	et inquibus communicamus |cum uegeta bilibus et plantis 	qui sont communes a nous et aux plantez uegetables 	37
58	ut potentia nutritiua augmentatiua generatiua 	cõe est la puissance neutritiue augmentatiue et cõuantiue |les quelles competent a nous 	38|39
59	et talia que etiam ipsis ardoribus conpetunt. 	et aussi aux arbres et aux herbes |que on appelle plantes uegetables. 	40|41
60	Potentie uero cognitiue sensitiue 	mais les puissances cognitiues sencitiues sont celles |par quoy nous cognoisson les choses corporelles 	42|43
