0	Capitulum. primum quomodo diuiduntur anime. 	Caplm̃ primum quomodo diuiduntur |potencie anime 	0|1
1|2	et inquibus potenciis habent |esse uirtutes 	et in quibus potenciis habet esse uirtus. 	2
3	Ostquam auxiliante. 	Ostquod auxiliante deo 	3
4	deo conpleuimus prim̃a partem huius pͥ mi libri 	com pleuimus primam partem huius primi libri 	4
5	in quo agitur de regimine sui 	in quo agitur de regimem 	5
6	ostendentes inquo reges et principes 	sin ostem dentes |in quo reges et principes 	6|7
7	suam felicitatem ponere debeant 	suam felicitatem ponere debeant 	8
8	quia non decet 	quia non decet 	9
9	eos suum finem ponere in diuiciis 	eos |suam finem ponere in diuiciis 	10|11
10	nec in ciuili potentia 	nec in ciuili potencia 	12
11	nec in aliquibus talibus 	nec in aliquibus talibus 	13
12	sed in omnibus hiis 	sed omnibus hiis 	14
13	ut supra plenius probabatur debent 	ut supra plenius probatur debent 	15
14	utitanquam organis ad felicitatem 	uti tamquam or ganis ad felicitatem. 	16
15	suam autem felicitatem ponere debent 	Suam autem felicitatem ponere 	17
16	in actu prudencie 	in actu prudencie debent 	18
17	prout talis actus est inperatus a caritate. 	prout talis actus imperatus est |a ⟦uirti⟧ caritate. 	19|20
18	Nam tunc reges habent felicitature suo statu debitam et condignam 	Nam tunc rege⟦sis⟧ habent |suam felicitatem suo statui condignam et debitam 	21|22
19	quando in stigante dei delectatione 	quando instigante dei dilectione 	23
20	secundum prima		
21|22	denciam regnatiuam gentem |sibi commissam scderm legem 	sed prudentiam regnatinam gentem sibi commissam sed legem 	24
23	et rationem sancte et iuste regunt principalitergni regum felicitas ponenda est in ipso deo 	et rationem sancte et iuste regunt |Principaliter igitur regum felicitas ponenda est 	25|26
24	et ut cognitione et dilectione eius suum studium 	in ipso deo |et ex cognicione et dilectione eius suum studium 	27|28
25	et suam uitam ad hoc ordinare debeant 	et suam uitam ad hoc ordinare debent 	29
26	⁊cognoscentes et diligentes deum 	ut cognoscentes et diligentes deum ipsi 	30
27	tanquam ueri ministri eius sermordinem rationis dirigant populm sibi commissum. 	tamquam ueri ministri eius |sed ordinem rationis dirigant populm sibi comissum. 	31|32
28	Hiis igitur ita peractis et ostenso 	hiis igitur ita peractis et ostenso 	33
29	in quo reges debeant 	in quo reges debeant 	34
30	ponere suum finem 	ponere suam finem 	35
