0|1	Capitulum. primum quomodo diuiduntur anime. |et inquibus potenciis habent 	Chapter I 	0
2	esse uirtutes 	After that 	1
3	Ostquam auxiliante. 	by help ot God 	2
4	deo conpleuimus prim̃a partem huius pͥ mi libri 	we hauen iended the furste partie |ot this firste Book 	3|4
5	in quo agitur de regimine sui 	in the whiche it is itreted |ot mannis owne gouernaunce, 	5|6
6|7	ostendentes inquo reges et principes |suam felicitatem ponere debeant 	schewynge wherinne kynges and princes schullen sette here felicite. 	7
8	quia non decet 	For it is not semelich 	8
9	eos suum finem ponere in diuiciis 	for hem to sette here 	9
10	nec in ciuili potentia 	ende in riches nother in cyuil myght and strengthe, 	10
11	nec in aliquibus talibus 	nother in no suche thinges, 	11
12	sed in omnibus hiis 	but he schal vse al suche thinges, 	12
13	ut supra plenius probabatur debent 	as it is proued totore atte folle, 	13
14	utitanquam organis ad felicitatem 	as instrumentis and inuen[c]iones 	14
15	suam autem felicitatem ponere debent 	for to come te felicitee. |thei schullen sette here felicite 	15|16
16	in actu prudencie 	in dede ot prudencia, 	17
17	prout talis actus est inperatus a caritate. 	as that dede cometh ot charite. 	18
18	Nam tunc reges habent felicitature suo statu debitam et condignam 	For thanne kynges hauen felicite accordyng to here astate, 	19
19	quando in stigante dei delectatione 	whanne by excityng of [d]eleccioun of God, 	20
20	secundum prima	they rulen hem |that bien vnder hem holilyche and rightefulliche 	21|22
21	denciam regnatiuam gentem 	by prudencia ot regnynge 	23
22	sibi commissam scderm legem 	and by lawe ot resoun. 	24
23	et rationem sancte et iuste regunt principalitergni regum felicitas ponenda est in ipso deo 	thanne the felicite of kynges schal |de principalliche iset in God. 	25|26
24	et ut cognitione et dilectione eius suum studium 	And by knowyng and loue of hym he schal ordeyne|here studie 	27|28
25	et suam uitam ad hoc ordinare debeant 	and here lit therto, |that thei mowe knowe 	29|30
26	⁊cognoscentes et diligentes deum 	and loue God |and rule the poeple 	31|32
		that is under ham 	33
27	tanquam ueri ministri eius sermordinem rationis dirigant populm sibi commissum. 	as verrey Goddes seruauntes |by ordre of resoun. 	34|35
28	Hiis igitur ita peractis et ostenso 	thanne, for this is treted, |and it is schewed 	36|37
29	in quo reges debeant 	where inne kynges schal sette 	38
30	ponere suum finem 	here ende and felicite 	39
31	secundum ordinem superius praetexatum restat ostendere 	by the ordre |that is isette, 	40|41
32	quibus uirtutibus reges poll̾e debeant 	now it is le schewyng |in what verues kynges schal be excellent and vertuous 	42|43
33	uirtutes autem sunt quidam ornatus 	by certeyn heyghtyng 	44
34	et quedam perfectiones anime. 	and perfeccioun of the soule. 	45
35	oportet igitur prius ostendere 	therfore it nedeth firste to schewe 	46
36	quot sunt poten cie anime 	whiche bien the vertual |poten|cie and myghtes ot the soule 	47|48
37	et in quibus potenciis habent 	and in whiche myghtes the vertues 	49
38	esse uirtutes	bien igrounded and ipight. 	50
39	consequenter autem manifestabitur 	And thanne it schal be ischewed 	51
40|41	quomodo uirtutes sunt |dis 	how the vertues bien distingued. 	52
42	terngende postea uero ostendemus 	therafter we schal declare 	53
43	quot sunt numero huius uirtutes 	how many suche vertues ther bien 	54
44	et que illarum st principales 	and whiche therot is principale, 	55
45	et que secundarie. 	and whiche is secundary, 	56
46|47	deinde autem declarabitur singulariter |que sit una quem illarum uirtutum 	and thanne we schal trete singulerlich of eueriche ot these vertues 	57
48	et quomodo decet reges 	and how it semeth kynges and princes 	58
