sommer--ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	micha-ii-48	lancellotto-ii-48
auoir troue fait elle. 	queria fallar muy de grado 	auoir trouue. 	auoir troue 	auoir trouue 	avoir trové. » 	avere trovato». 
si li conte toute sauenture  si com li contes la retrait cha en arriere. 	e luego le conto todo  como le auia conel contesçido  asi como el cuento lo a deuisado 	si luy compte toute sauanture  ansi comme le comte la dit cy deuant 	Si li conte tote sauenture  ainsi com li contes la retraite. 	si luy compte toute son auanture 	Si li conte tote s’aventure  issi com vos avés oi dire ça arrieres. 	Si gli conta tutta sua aventura  si come el libro l’à trattato qua adietro, 
Tant que il connoist bien 	e luego entendio boores 	tant que il cognoist bien 	Tant que il quenoit bien 	tant quil cengnoit bien 	tant qu’il conoist bien 	tanto che conosce bene 
quele le quiert. 	que ael andaua ella buscando 	que cest il quelle quiert. 	que cest ele  que il le quiert. 	que cest celle 	que c’est il 	che ciò est elli quelli  cui ella chiede, 
Mais pour le courous  quil a del senescal.  ne se volt il faire aconnoistre. 	mas porel pesar dela muerte del senescal  no se quiso fazer conosçer 	Mais pour le courroux  quil a de la mort au seneschal ne se ueult il faire cognoistre 	mais por le corrous  quil auoit de la mort au seneschal:  ne se wet faire quenoistre a li 	qui le quiert/  Mais pour le couroust quil a du sencchal et de sa mort ne se uoult faire congnoistre/ 	qu’ele quiert a,  Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	ma per lo cruccio  ch’egli à della morte del siniscalco  non si vuole fare cognoscere, 
Ains li respont.  Certes damoisele le cheualier 	antele rrespondio çierto donçella al cauallero 	Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier 	si li dit.  Certes damoisele 	mes leur respont certes damoiselle 	ains li respont: «  Certes,  damoisele, chevalier 	anzi le risponde:  'Certo, damigella, il cavaliere 
qui porte blanches armes ne connois iou mie. 	que traia blancas armas no conozco yo 	qui porte escu blanc. 	qui port escu blanc ne sai ie nul. 	ie ne cengnois mie le cheualier  qui porte les blances armes. 	qui porte escu blanc ne conois je nul. —  En non Dieu, 	che porta lo scudo bianco  non ne so io nulla. 
Enon dieu sire fait elle 	Pardios dixo la donçella 	Certes sire fait elle ce me poise 	En no dieu fait ele 	En nen dieu fait elle 	sire,  fet ele, 	—A nome di Dio,  dis’ella, 
che poise moi moult durement. 	mucho me Pesa caramjente 	et il ne tient plus parole a luy. 	de ce me poise il trop durement. 	il me poyse monlt chierement.  A donc sen part 	ce poise moi chierement. » 	ciò pesa a mes.  E non tenne più a-llei parole, 
				et ne uoult plus parler 		
